view,family,batch,states,screenshot,test,scope,source
SettingsView,profile,W10b,default;reduce-motion;reduce-transparency,54-profile-settings.png,P8_ProfileSettingsUITests,production,QiuJi/Features/Profile/Views/SettingsView.swift
AboutView,profile,W10b,default;long-text,55-profile-about.png,P8_ProfileSettingsUITests,production,QiuJi/Features/Profile/Views/AboutView.swift
SubscriptionView,profile,W10b,loading;products;purchase-error;restore-error,planned:subscription,P7_SubscriptionUITests,production,QiuJi/Features/Profile/Views/SubscriptionView.swift
SubscriptionStatusView,profile,W10b,free;active;expired,57-subscription-status.png,P7_SubscriptionUITests,production,QiuJi/Features/Profile/Views/SubscriptionStatusView.swift
AimingPrincipleView,learn,W11a,top;middle;bottom,09-aiming-principle.png,ScreenshotTourUITests,production,QiuJi/Features/AngleTraining/Views/AimingPrincipleView.swift
AimingMethodsView,learn,W11a,top;middle;bottom,09b-aiming-methods.png,ScreenshotTourUITests,production,QiuJi/Features/AngleTraining/Views/AimingMethodsView.swift
AimingCorrectionView,learn,W11a,top;interactive;bottom,09c-aiming-correction.png,AimingCorrectionZ1UITests;AimingCorrectionZ2UITests;AimingCorrectionZ3UITests,production,QiuJi/Features/AngleTraining/Views/AimingCorrectionView.swift
SpinAndEnglishView,learn,W11a,top;interactive;bottom,09d-spin-and-english.png,SpinAndEnglishZ4UITests,production,QiuJi/Features/AngleTraining/Views/SpinAndEnglishView.swift
SeparationAngleAtlasView,learn,W11b,default;selected,09e-separation-angle-atlas.png,ScreenshotTourUITests,production,QiuJi/Features/AngleTraining/Views/SeparationAngleAtlasView.swift
CushionEnglishAtlasView,learn,W11b,default;selected,09f-cushion-english-atlas.png,ScreenshotTourUITests,production,QiuJi/Features/AngleTraining/Views/CushionEnglishAtlasView.swift
AngleDynamicView,learn,W11b,top;middle;bottom,10-angle-dynamic.png,ScreenshotTourUITests,production,QiuJi/Features/AngleTraining/Views/AngleDynamicView.swift
BallFeelView,learn,W11b,top;middle;bottom,11-ball-feel.png,ScreenshotTourUITests,production,QiuJi/Features/AngleTraining/Views/BallFeelView.swift
ContactPointTableView,learn,W11b,top;middle;bottom,12-contact-point-table.png,ScreenshotTourUITests,production,QiuJi/Features/AngleTraining/Views/ContactPointTableView.swift
TheoryIndexView,theory,W12a,standard;unpublished-lock,planned:theory-index,V30W0TheoryIndexUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryIndexView.swift
TheoryT01View,theory,W12a,top;middle;bottom,12c-theory-t01.png,V30W1TheoryPageUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryT01View.swift
TheoryT02View,theory,W12a,top;middle;bottom,12d-theory-t02.png,V30W1TheoryPageUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryT02View.swift
TheoryT03View,theory,W12a,top;middle;bottom,12e-theory-t03.png,V30W1TheoryPageUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryT03View.swift
TheoryT04View,theory,W12a,top;middle;bottom,12f-theory-t04.png,V30W1TheoryPageUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryT04View.swift
TheoryT05View,theory,W12b,top;middle;bottom,12h-theory-t05.png,V30W2TheoryPageUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryT05View.swift
TheoryT06View,theory,W12b,top;middle;bottom,12i-theory-t06.png,V30W2TheoryPageUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryT06View.swift
TheoryT07View,theory,W12b,top;middle;bottom,12j-theory-t07.png,V30W3TheoryPageUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryT07View.swift
TheoryT08View,theory,W12b,top;middle;bottom,12k-theory-t08.png,V30W3TheoryPageUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryT08View.swift
TheoryT09View,theory,W12b,top;middle;bottom,12g-theory-t09.png,V30W4TheoryPageUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryT09View.swift
TheoryT10View,theory,W12b,top;middle;bottom,12l-theory-t10.png,V30W4TheoryPageUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryT10View.swift
TheoryFlowView,theory,W12c,top;middle;bottom,12m-theory-flow.png,V30W4TheoryPageUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryFlowView.swift
TheoryQuickRefView,theory,W12c,top;middle;bottom,12n-theory-quickref.png,V30W4TheoryPageUITests,production,QiuJi/Features/AngleTraining/Theory/TheoryQuickRefView.swift
GeometricAngleQuizView,cognitive,W13,settings;question;result;limit,13-geometric-quiz.png,P5_AngleTrainingUITests,production,QiuJi/Features/AngleTraining/Views/GeometricAngleQuizView.swift
SceneAimingView,cognitive,W13,settings;question;result,14-scene-aiming-2d.png;15-scene-aiming-3d.png,P5_AngleTrainingUITests,production,QiuJi/Features/AngleTraining/Views/SceneAimingView.swift
AimPointTrainingView,cognitive,W13,settings;question;result,16-aimpoint-training.png,S3_AimPointUITests,production,QiuJi/Features/AngleTraining/Views/AimPointTrainingView.swift
AimPointSceneTrainingView,cognitive,W13,settings;question;result,17-aimpoint-scene-2d.png;18-aimpoint-scene-3d.png,S5_AimPointSceneV5UITests,production,QiuJi/Features/AngleTraining/Views/AimPointSceneTrainingView.swift
ShotSimulationView,dark-tool,W14a,default;manual;result;sheet,19-shot-simulation.png,S2_ShotPagesLayoutUITests;W9a_ShotPagesLayoutUITests,production,QiuJi/Features/AngleTraining/Views/ShotSimulationView.swift
PositionPlayComposerView,dark-tool,W14a,default;editing;playback;sheet,20-position-play-composer.png,S1_FreePlayLayoutUITests;W9a_ShotPagesLayoutUITests,production,QiuJi/Features/PositionPlay/Views/PositionPlayComposerView.swift
FreePlayView,dark-tool,W14a,break;playing;finished,21-free-play.png,S1_FreePlayLayoutUITests;X3_BreakFlowUITests,production,QiuJi/Features/PositionPlay/Views/FreePlayView.swift
BallExtractionView,dark-tool,W14a,picker;marking;confirm;error,22-ball-extraction.png,W4_BallPaletteUITests,production,QiuJi/Features/BallExtraction/Views/BallExtractionView.swift
BatchDrillStudioView,dark-tool,W14a,default;navigate-extract,23-batch-drill-studio.png,new-v47-batch-page-tests,simulator-only,QiuJi/Features/BatchDrillStudio/BatchDrillStudioCore.swift
BatchBallExtractionView,dark-tool,W14a,default;navigate-author,planned:batch-extraction,new-v47-batch-page-tests,simulator-only,QiuJi/Features/BatchDrillStudio/BatchBallExtractionView.swift
BatchAuthoringView,dark-tool,W14a,default;editing;export-error,planned:batch-authoring,new-v47-batch-page-tests,simulator-only,QiuJi/Features/BatchDrillStudio/BatchAuthoringView.swift
SiluTrainerView,dark-tool,W14b,default;result;toast,24-silu-trainer.png,W9a_ShotPagesLayoutUITests;X6_AdjustDraftUITests,production,QiuJi/Features/PositionPlay/Views/SiluTrainerView.swift
PlanThreeView,dark-tool,W14b,setup;playing;result,25-plan-three.png,S7_PlanThreeV7UITests;X6_AdjustDraftUITests,production,QiuJi/Features/PositionPlay/Views/PlanThreeView.swift
SnookerTacticsView,dark-tool,W14b,full;partial;none,26-snooker-tactics.png,S8_SnookerV8UITests;X6_AdjustDraftUITests,production,QiuJi/Features/SnookerTactics/Views/SnookerTacticsView.swift
BankShotView,dark-tool,W14b,default;solved;error,27-bank-shot.png,X5_BankKickSpinUITests,production,QiuJi/Features/AngleTraining/Views/BankShotView.swift
DiamondSystemView,dark-tool,W14b,default;solved;error,28-diamond-system.png,W9a_ShotPagesLayoutUITests,production,QiuJi/Features/AngleTraining/Views/DiamondSystemView.swift
