scenario,status,batch,execution,scope_note,issues
SC-21,partial,B3,FORMAL-B3-001;FORMAL-B3-003;FORMAL-B3-004;FORMAL-B3-005;formal-004-composer-continuation-001;formal-004-break-mode-observation-001;formal-004-break-mode-observation-002;formal-004-break-delivery-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：摆球、击打、进袋、下一杆、撤回，seed/玩法变化，球数、ID、终位一致；不录制写资产。 **已验**：H B3架球/普通自由走位；旧sameSeed断言仅号码数组，不能单独当位置确定性。C R/formal-004-composer-continuation-001（67.041s）真实两杆、进袋/推进、最近一杆重打恢复第二次击球前球形；D/COMPOSER-CONTINUATION-004-RESULT.md。非录制状态单级恢复语义不要求退回第一杆。Daily正常重摆的磁盘seed从8016700117247144671变10241297249008912792，见D/DAILY-NORMAL-004-RESULT.md，不冒充所有seed金样。 C R/formal-004-break-mode-observation-002（30.516s）正常FreePlay打开实际玩法；R/formal-004-break-delivery-001 正常选9球→架球→t36.70击球→停稳→t50.58手动完成，普通HUD“对局开始：玩家A先击球”、break.entry恢复。主控3全图/连续录像采样/独立AX证明球架10根、停稳与交付同9根（_3离台），8目标中心差0、母球差−0.05/−0.1pt，同table/stage。独立原件为该run `observations/independent-delivery-comparison.json`、`observations/root-review.json`、`observations/break-delivery-motion-sheet.jpg`；D/BREAK-DELIVERY-004-RESULT.md。 **整方法失败保留**：delivery001失败70.967s，不能改成通过。失败于交付后额外要求击球立即enabled；真实FreePlay还要求当前瞄准isFeasible，90°极薄球/无轨迹不满足此前提。内联比较与最后返回练习未执行；运行后独立比较补足核心交付，不冒充XCTest执行。旧observation001入口失配亦保留。 **收口**：核心原玩法→真实开球→交付已取得证据，可交付诊断。正常FreePlay返回已有其他旅程H/C；本次精确交付后返回、该局继续打完、其他玩法全部seed未验，不能写已验，也无需为核心已证交付重复整链。不得将它代SC23每日终态。",
SC-22,partial,B3,FORMAL-B3-001;FORMAL-B3-005;FORMAL-004-SOLVER-FILTERS-002;formal-004-tool-constraint-entrances-001;formal-004-tool-constraint-positive-001;formal-004-tool-constraint-followup-001;formal-004-silu-shot-001;formal-004-half-occlusion-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：可行/无解落区、下一解、复杂度、全/半遮挡，不虚称成功。 **已验**：C R/formal-004-tool-constraint-positive-001、formal-004-tool-constraint-followup-001 真实完整角色/落区；思路矩形5解、落点最接近6解/141cm/0%，三球默认扇形最接近及自定义矩形6解、实打进袋/角色前移/撤销。C R/formal-004-silu-shot-001（61.355s），`SiluShotDiagnosticUITests/testObservedRectangleNextSolutionStrikeAndUndoRestoresBoardAndSolutionIndex`：2/5实打黄球入袋、母球矩形内、上一杆原球框≤2pt、无需重解3/5。精确源/断言见D/SOLVER-BOUNDARY-CLOSURE-004-AUDIT.md及SILU-SHOT-004-RESULT.md。 C R/formal-004-half-occlusion-001（.011s），`HalfOcclusionDiagnosticTests/testSameTargetFullHalfAndClearAngularCoverageMatchesIndependentIntervals`：同目标独立可见角比例1/.5/0，single/multi/defense余量与独立金样1e-4度内；D/HALF-OCCLUSION-004-RESULT.md及O/half-occlusion-root-golden.json。H B3-005防守6解切换/击球/还原，B3-001不可达落区强制降级、非法输入空解、接触/距离金样。 **边界**：最近解不是满足落区，也不是空候选；完整合法思路/三球零候选未验。原要求每工具正常与边界/无解已有映射，不追加每模式必empty。半遮挡旧待办已补，不能沿旧审计再测。屏幕终位/独立射线不认证真实桌精度或多障碍全部几何。 **收口**：可交付诊断，保留H原件与数值适用范围，不继续无限求无解盘。",
SC-23,partial,B2,FORMAL-B2-001;formal-004-daily-normal-001;formal-004-daily-legal-shot-001;formal-004-daily-rerack-001;daily-resume-20260909-001,2026-09-09 ## SC23 每日清台  **原要求**：开始、恢复、失败、完成、再来、跨日；去重且不污染准确率。  **已验**：保留DAILY-NORMAL/DAILY-SHOT-004-RESULT中正常启动/恢复/合法一杆/重开证据与所有原失败。2026-09-09新增正常CUA实测见DAILY-ENDING-004-RESULT.md：旧日草稿只读保留后自然跨日，新日入口一次成功；正常换4球、手动开球/完成交付playing，同seed实际5杆0犯规清1/2/3/9。独立completion为5/0/216.892秒，draft键清除；首页完成、重入完成摘要、再来新seed playing4球0杆及原completion逐字段保持均实证。录屏400.017秒正常结束，非XCTest方法通过。H B2规则/服务完成再来幂等、失败、统计排除保留。  **问题与边界**：QD034完成重入HUD剩余0球却出现默认母球+1/2且击球enabled；记录没有丢失。此次没有在异常盘击球，未证明统计污染。正常失败终态、中八所有终局、活进程跨午夜及第二局重复完成UI未验，保留规则/服务层旁证，不将一条成功链外推所有终态。昨天XCTest停首页与今天输入前提不同，根因未定。  **收口**：正常终局缺口已补，可带QD034与上述明确边界交付诊断。Mac锁屏限制已解除，不再等待解锁或重复旧长链，不为穷尽胜负排列重seed。  ,QD-034
SC-24,partial,B2,FORMAL-B2-001;formal-004-upload-boundary-001;formal-004-upload-invalidation-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：离线浏览记录、失败诚实、恢复只补待传、草稿保持。 **已验**：H V54 `V54TrainingTransactionTests/test_injectedSaveFailure_rollsBackEverything_andSameBlockCanRetry`，事务失败可重试唯一；V36恢复失败锚点/删除队列。C固定离线账户错误仍保旧、普通磁盘训练/记录链，不把本地读等价系统断网。最小缺口现已由 R/formal-004-upload-boundary-001（.673s）`UploadBoundaryDiagnosticTests/testMultiItemInFlightFailureRetriesOnlyUnacknowledgedItem`补：真实coordinator，S0/S1/S2顺序，S1受控在途失败，S2继续，第二轮仅S1；独立context核实体/队列/owner/payload，B与guest保留。5阶段JSON及ledger现存；D/UPLOAD-004-RESULT.md。 **边界**：受控backend actor是协议层，不是实际断网HTTP；fixed-offline fixture在网络前停止不能证明完整App网络恢复。现产品无安全可切换UI网络注入，不破坏库/加生产fixture造故障。指定隔离已部署服务和合成身份可另做E端到端。 **收口**：可交付分层诊断；上传多项故障已验，旧“只单项/未补待传”待办作废。",
SC-25,partial,B4,FORMAL-B4-001;FORMAL-B4-002;FORMAL-B4-ROUTES;FORMAL-B4-REAL-MONGO-001;FORMAL-RESUME-CURRENT-SYNC-AUTH-001;FORMAL-RESUME-CURRENT-SYNC-COORDINATOR-001;FORMAL-RESUME-CURRENT-SYNC-OWNER-001;FORMAL-004-REAL-MONGO-001;formal-004-upload-boundary-001;formal-004-upload-invalidation-001;formal-004-favorite-owner-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：guest/A/B、迟到响应，队列/收藏/计划/资料不串。 **已验**：H V53及003十四方法，映射D/ACCOUNT-OFFLINE-004-EVIDENCE-AUDIT.md；C正常收藏磁盘、目标guest/A/B重建、账户退出各专项；上传独立 R/formal-004-upload-invalidation-001（1.036s），`testInFlightUploadInvalidationStopsOldBatchAcrossDisableAndABA`四行关闭迟到成功/失败、sync ABA失败、account ABA失败：旧批不S2、不restore，新批仅未确认；五实体owner/provenance独立context、B/guest/锚点不变。D/UPLOAD-004-RESULT.md，不用下载迟到替代上传迟到。 **问题/边界**：C R/formal-004-real-mongo-001明确QD007：A提交自己记录body ownerB，HTTP200及数据库归B，A读0/B读1；不是“能任意偷B记录”的更大主张。真实多设备身份/账户缓存端到端需指定测试身份服务；actor调度不证明App全局通知并发。 **收口**：可交付有已证失败的诊断；QD007无需再同质重现，ABA本机缺口已补。 Latest: FAVORITE-OWNER-004-RESULT.md supersedes the local favorite owner-query gap: 1/1 passed, 0.610s; four independent guest/A/B stages, 0/6/5/4 rows. Real login/UI/cloud not established.",QD-007
SC-26,partial,B4,FORMAL-B4-001;FORMAL-B4-002;FORMAL-B4-ROUTES;FORMAL-B4-REAL-MONGO-001;FORMAL-RESUME-CURRENT-SYNC-AUTH-001;FORMAL-RESUME-CURRENT-SYNC-COORDINATOR-001;FORMAL-RESUME-CURRENT-SYNC-OWNER-001;FORMAL-004-REAL-MONGO-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：同意/拒绝/失败重试，499/500/501/1000全量增量、重复ID/删除队列。 **已验**：H B4/V36同意拒绝、重试、去重、删除保护与旧路由499/500/501/1000分层；原件不可重核，不能写004全跑。C R/formal-004-real-mongo-001，独立Mongo8.0.29/localhost37294/新库/合成JWT、后台004源码hash一致：5项2过3失败；500条训练/角度两端点完整对照通过，501首批仅500且after无剩余、最旧丢失。原node-test.log及数据库观测现存，D/MONGO-004-RESULT.md。 **问题/边界**：QD008确认恢复协议截断，数据本身仍在DB；不把archive wrapper0当Node测试通过。本轮没有实际1000/Mongo排序同时间戳全排列、iOS到已部署服务迁移；H测试与当前500/501各有不同层级。E需隔离部署及可迁移合成账号，不能动真实数据。 **收口**：可交付诊断，已证缺陷否定“完整恢复”；不为追绿重复1000同一截断。",QD-008
SC-27,partial,B3,FORMAL-B3-001;formal-004-photo-picker-001;formal-004-photo-select-001;FORMAL-004-PHOTO-SEND-ORIGINAL-001;formal-004-photo-boundary-001;formal-004-photo-boundary-002,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：权限允许拒绝、四角/退化、选号改球、确认送工具。 **已验**：C photo-picker/select/calibration/marks及 R/formal-004-photo-send-original-001（77.721s）正常选已导入合成图、长库四角、cue/1号、撤销重做，确认到编排/思路/三球各保两球与相对位置并返回。R/formal-004-photo-boundary-001退化Next拒绝33.904s；其另一方法48.094s因选中态总数前提失配失败。R/formal-004-photo-boundary-002（63.566s）1→2改号正常交付/返回，cue+蓝2无黄1及5全图。D/PHOTO-BOUNDARY-004-RESULT.md、PHOTO-004-RESULT.md；H Homography金样。 **问题/边界**：QD030自动提取文案与实际手工标球不一致。合成图库不证明真机相机允许/拒绝和拍摄；需要E有摄像头设备及专用测试照片。短库全部角/每工具再做改号不是原计划新增必过组合。 **收口**：本地合成盘面链可交付，真实采集权限层保留E；不再写改号/退化/发送全缺。",QD-030
SC-28,partial,B3/B5,AUDIO-DIAGNOSTIC-REVIEW;FORMAL-B5-RELEASE-001;formal-004-settings-boundary-002,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：开关/静音/暂停恢复/原速事件同步，缺素材如实记录。 **已验**：C R/formal-004-settings-boundary-002（74.573s）声音1→0、返回重入0、PID24188→24338后0及独立偏好false，D/SETTINGS-004-RESULT.md。C十轮原速视觉回放运动另见SC36；H事件排程/暂停恢复源码审计D/AUDIO-DIAGNOSTIC-REVIEW.md。 **问题/边界**：QD020 Debug/Release实际支持音频素材缺失；声音、真实静音/中断/恢复及事件听感不可由视觉运动替代。不得生成新素材凑测试。E需合法音频资产、真机及声音/静音/系统中断条件；当前素材缺失本身已可诊断。 **收口**：可交付诊断，开关不再未验，实际听感未验及原因保留。",QD-020
SC-29,partial,B4,FORMAL-B4-001;FORMAL-B4-002;FORMAL-004-ACCOUNT-FAILURE-004,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：无/过期token、网络错误、撤销/退出，不假登录。 **已验**：H AuthState/APIClient token/刷新/临时错误/撤销/迟到方法，D/B4.md、ACCOUNT-OFFLINE-004-EVIDENCE-AUDIT.md。C R/formal-004-account-failure-004（102.984s）正常guest→固定离线身份、明确失败保旧、正常退出同进程guest、PID53485→53802移除fixture重启仍guest。D/ACCOUNT-FAILURE-004-RESULT.md；注入在网络构造前抛-1009，未发送真实请求。 **边界**：不以合成profile冒充Apple认证，退出guest不证明服务器token撤销。真实Apple签入/撤销、Keychain与服务器刷新为E，需指定测试身份/隔离服务；旧001/002输入替换、003弹层取消定位失败保留T。 **收口**：可交付分层诊断；不重跑固定离线昵称替代真实认证。",
SC-30,partial,B4,FORMAL-B4-001;FORMAL-B4-002;FORMAL-004-ACCOUNT-FAILURE-004;FORMAL-004-DATA-GOAL-COMPANION-001;FORMAL-004-DATA-GOAL-COLD-001;FORMAL-004-AVATAR-BOUNDARY-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：部分更新、非法值、头像失败/取消、迟到与缓存版本。 **已验**：H V53部分更新、20字符限制、revision成功/失败回滚、迟到A不覆盖B/缓存清理；C account-failure004正常昵称合法保存失败保旧。R/formal-004-avatar-boundary-001（80.235s），`AvatarBoundaryDiagnosticUITests/testSyntheticPickerAndCropCancelThenOfflineUploadRestoresDefaultAvatar`：真实picker取消、crop取消、同合成图Use失败、默认回滚/旧名不变/重新进入可操作，8全图。D/AVATAR-004-RESULT.md。 **问题/边界**：QD031真实弹窗泄露技术化networkError文案。C初始avatar=nil，只证明默认头像回滚，不把它写成非空旧revision视觉回滚。非空缓存版本有H服务旁证，真实上传与跨设备版本需E受控服务身份。 **收口**：可交付诊断；旧头像正常取消/失败UI未验描述过时。",QD-028;QD-031
SC-31,partial,B4,FORMAL-B4-001;FORMAL-B4-002;FORMAL-004-ACCOUNT-FAILURE-004;formal-004-settings-boundary-002,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：删除顺序/失败重试、注销后拒绝、法律配置、日志不泄密。 **已验**：H B4注销服务顺序、补偿/分owner缓存、URL校验。C account-failure004取消保身份、确认失败/再次失败/取消，未伪注销。C settings-boundary002正常关于1.0.0(1)与安装包一致、法律未发布说明及返回。D/PRIVACY-LOG-004-REVIEW.md：account/avatar/entitlement/upload四授权合成run日志共2144行、三凭据形状规则0命中；O/privacy-log004-review001.json留hash/计数，不复制敏感值。 **问题/边界**：QD021法律/API配置空，不能写可上线。静态SyncQueue输出服务器body前200字符及error、Restore输出userId等属潜在风险，所抽样日志未出现秘密，不升级成“全部日志不泄密”。真实注销成功/成功后请求拒绝仍E合成可删除账号；现UI故障fixture不能注入成功后状态，不造fixture或删真实用户。 **收口**：可交付诊断，授权日志/关于入口已补，保留真实删除边界与静态风险。",
SC-32,partial,B3,FORMAL-B3-002;formal-004-storekit-pending-001;FORMAL-004-ENTITLEMENT-BOUNDARY-001;formal-004-quota-boundary-001;formal-004-quota-day-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：Free/Pro各类、到期、跨日额度，不绕过。 **已验**：C R/formal-004-entitlement-boundary-001（260.668s）真实本地月购、单PID16441，一条交易；c039试打、Pro计划正常激活确认取消、图谱轨道操作，同进程到期三类重新拦截，12图。R/formal-004-quota-boundary-001（76.905s）受控19次前置→实际末题耗尽→本地月购→同PID29637再提交；独立偏好21/UI记录0→1→2。D/ENTITLEMENT-004-RESULT.md、QUOTA-004-RESULT.md。 **已证失败**：R/formal-004-quota-day-001（.764s），有效进程默认时区UTC−12→UTC+14，当地日期9/7→9/9；活实例剩0/仍限额，新实例剩20，QD032。`screenshots/01-original-process-state.json` 至 `05-restored-process-state.json`保留前提/恢复Shanghai证据。测运行中当地日期改变，不称真实等午夜；无需再等一天追绿。 **收口**：可交付有失败结论的诊断；真实商店权益为SC33外部层，不能把forcePro旧图当当前本地购买证据。",QD-032
SC-33,partial,B4,FORMAL-B4-003;formal-004-storekit-catalog-001;formal-004-storekit-cancellation-001;formal-004-storekit-pending-001;formal-004-storekit-recovery-001;formal-004-storekit-restore-001;formal-004-storekit-lifecycle-l0-001;formal-004-storekit-lifecycle-l1-002;formal-004-storekit-lifecycle-l2-001;FORMAL-004-ENTITLEMENT-BOUNDARY-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：商品失败、取消、pending、购买恢复及权益刷新。 **已验**：C R/formal-004-storekit-cancellation-001（38.607s）实际本地付款弹框取消→Free/零交易/CTA恢复；pending001（77.775s）同transaction待批Free→批准实时Pro/正常图谱操作；restore001（75.497s）无purchase注入正常月购→PID41432→41514同交易重启Pro→仅appStoreSync失败但保Pro→清错重试恢复成功同ID0。D/STOREKIT-004-RESULT.md及STOREKIT-RESTORE-004-RESULT.md按实际文件索引引用；精确run目录为上述统一前缀。 **未建立层与失败解释**：catalog001（41.513s整方法失败）错误注入后实际走empty商品说明，clear重试3商品/Free零交易，不是load catch。pending的“购买失败/处理中”矛盾是QD025。recovery001失败188.331s，两failed/零purchased；名为success图不是真购买。直接SDK对照L0成功.879s，L1-002清nil后仍code2失败1.403s、L2 refetch仍失败1.388s，绕开UI/manager复现；不能归因App重试逻辑。已停止同质SDK细分。 D/LOAD-REMINDER-CLOSURE-004-AUDIT.md核StoreKit共享loader无安全抛错注入口，现init注入不涵盖products。真实catalog catch/timeout UI没有建立，明确为本地能力限制，非已验也非自动划人工；不改生产fixture/破坏网络去造。E真实Apple Sandbox购买/恢复仍需专用身份与商店配置，本地StoreKit不是商店实测。 **收口**：可交付分层诊断，保留catch及SDK重试未建立的具体原因。无需再重复完整recovery失败链。",QD025
SC-34,partial,B5,FORMAL-B5-M1-LIGHT;FORMAL-B5-M2-LIGHT-ROOT;FORMAL-B5-M2-LIGHT-CORE;FORMAL-B5-M3-LIGHT-ROOT;FORMAL-B5-M3-LIGHT-CORE;FORMAL-B5-M3-LIGHT-THEORY;FORMAL-B5-M3-ROTATION;FORMAL-B5-M3-DARK;FORMAL-004-M1-DARK-CORE-001;FORMAL-004-M1-LIGHT-CORE-001;FORMAL-004-M1-LIGHT-ROOTS-DETAIL-001;FORMAL-004-M1-DARK-ROOTS-DETAIL-001;FORMAL-004-M3-LIGHT-REST-001;FORMAL-004-M3-DARK-REST-001;formal-004-m2-startup-deny-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：根/详情/训练/工具/弹层，浅深色、紧凑/iPad横竖，无阻挡。 **已验**：C R/formal-004-m1-dark-core-001 / light-core-001各2方法39.436/41.644s；m1-light-roots-detail-001 / dark-roots-detail-001各2方法60.366/60.913s；四方法两外观26全图，正常根/详情与fixture休息/工具分清。C m3-light-rest-001 / dark-rest-001（15.970/13.886s）4全图真实配对，44pt浮标可达。D/MATRIX-004-RESULT.md与O/m1-core-pair-001-review.json、m1-roots-detail-pair-001-review.json。 H B5 M2普通训练/记录/工具，M3五根/训练/详情/球桌/旋转请求/Dark；原图不可重核保留，不当全部004新验。C m2-startup-deny001普通无跳引导启动、真实拒绝系统权限补iOS17条件，D/M2-STARTUP-004-RESULT.md。 **边界**：工具固定深色有源码契约，不报系统appearance失效；iPad当前产品仅portrait，旋转请求保持竖屏/边带不等于原生横屏或多任务适配。fixture休息布局不代表正常保存/购买。已证QD019和其它域问题保留，不用根页可达证明所有遮挡无问题。 **收口**：代表矩阵可分层交付，注明H旧原图边界；iPad休息配对已验，不再待收图或重整矩阵。",
SC-35,partial,B5,FORMAL-B5-M2-AX5-ROOT;FORMAL-B5-M2-AX5-CORE;FORMAL-EXTRA-M2-AX5-REACHABILITY-001;FORMAL-EXTRA-M2-AX5-INPUT-001;FORMAL-EXTRA-M2-AX5-TEMPLATE-002;FORMAL-B5-M3-AX5-ROOT;FORMAL-B5-M3-AX5-CORE;FORMAL-004-M2-AX5-LONGREAD-001;FORMAL-004-M3-AX5-LONGREAD-001;FORMAL-004-M3-AX5-TEMPLATE-KEYBOARD-002;FORMAL-004-M2-AX5-TEMPLATE-BOUNDARY-004,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：最大字号CTA、计时、长文、输入保存；VoiceOver标签和顺序。 **已验**：C m2-ax5-longread-001 / m3-ax5-longread-001，33.186/31.640s，实际AX5下段文字/返回6图；m3-ax5-template-keyboard-002（42.725s）输入/键盘关闭/退出无保存；m2-ax5-template-boundary-004（139.141s）空名/无动作拒绝、64字+c037正常保存、同UUID进程重启，独立SQL/4全图。H紧凑/iPad CTA计时、昵称与iPad模板保存重开；D/MATRIX-004-RESULT.md。iPad短键盘链不冒充再次保存成功。 **问题/边界**：QD019搜索图标裁切已有代表图，不追绿。紧凑template001–003/iPad001入口和系统键盘失配保留T，不能记产品存储失败。实际VoiceOver播报顺序/朗读仍E，需要启用辅助技术在对应设备实听；AX标签文本不替代朗读。 **收口**：本机代表组合可交付，VO层明确未验；不扩所有长名/字体级别。",QD-019
SC-36,partial,B2,FORMAL-B2-007;FORMAL-RESUME-THOUSAND-UI-001;FORMAL-RESUME-THOUSAND-UI-002;formal-004-performance-launch-001;formal-004-thousand-perf-ui-002,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：冷启动、千条列表统计、反复工具回放，耗时/内存/崩溃。原有限提议5启动、1000条、10轮，无有效SLA不自行设阈值。 **已验**：C R/formal-004-performance-launch-001（26.508s）五真实PID、terminate/notRunning/foreground/CTA，AXready中位3.705s/最大5.801s。R/formal-004-repeated-shot-001（226.661s）同PID46322十轮真实击球/回放/重打，不能只靠自动方法绿：O/formal-004-repeated-shot-001/visual-review.json及review-frames-002/manifest.json逐轮视频PTS，主控实际核运动，196 RSS范围177.734–956.328MiB。 R/formal-004-thousand-perf-ui-002（210.634s）`ThousandPerformanceDiagnosticUITests/testObserveThousandRecordScrollStatisticsAndReturn`，新probe/seed真实磁盘1000场/entry/set，正常历史短滚→统计2000分钟/1000组/8000到10000→历史。O/thousand-perf-seed001、thousand-perf-ui002-review.json、thousand-perf-ui002-disk-after.json及正式run，五图、PID30679的186 RSS峰1607.69MiB。D/PERFORMANCE-004-RESULT.md、THOUSAND-PERFORMANCE-004-RESULT.md。 **问题/边界**：QD026回放目标袋覆盖层与实际运动方向不一致；不抹掉运动证据，也不报回放全正确。千条UI001编译SDK格式化函数失配、0方法，非App失败。全部为Debug模拟器、计时含XCTest/AX/同步成本；forcePro仅开放统计，合成单日同kind不是千日真实负载；RSS无持续增长不证明无泄漏/FPS/热耗电。E真机性能有明确设备、数据、版本、次数前置。 **收口**：有限测量已可交付，不再把旧7分钟自动化时长当产品SLA或继续千条长链。",QD-026
SC-37,partial,B5,FORMAL-B5-RELEASE-001;CREATION-RETIRED-REACHABILITY;formal-004-release-001;formal-004-release-navigation-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：本地Release，权限/本地化/config/资源/包大小、Debug入口隔离；不发布不改签名。 **已验**：C R/formal-004-release-001优化构建、-O/DEBUG0、984文件约393.2MiB、权限中文/配置/扩展/资源/包哈希，D/RELEASE-004-RESULT.md。专用安装包984项相同，D/RELEASE-RUNTIME-004-RESULT.md的已完成静态/安装部分。QD009退役盘面仍入包、QD020无音频、QD021空API/法律配置已是可交付缺陷，不为通过填假配置。 **最新正常运行C**：O/release-runtime004-launch001/独立无参启动PID48888，主控首屏已审，535条该PID日志凭据形状0候选。R/formal-004-release-navigation-001，1/1通过36.374s，App PID49651；正常训练→我的游客→记录空态→训练→我的→设置→返回，5全图/AX主控已审。前后984项安装SHA改变/缺失0，主二进制仍c4bc0d17…9c4b42cf。独立xctestrun仅外部Debug UI驱动，实际UITargetAppPath及依赖指向归档Release，App参数/显式环境为空、无Debug宿主依赖；不是拿Debug App冒充Release。导航日志16621行Bearer/JWT/邮箱模式0候选，不代表真实账户/错误路径全日志安全。 **边界/收口**：普通Release基本运行缺口已补，可交付分层诊断。残留deeplink.settings未执行对照，仅D/RELEASE-RUNTIME-004-PREPARATION.md源码/字符串证据，必须保留动态隔离未验，不称参数无效已通过。此项具本机可观察可能，未执行不外推E；本次没有据静态限制新增重复构建或发布门槛。Mac锁屏及18:23未启动仅为历史检查点，不再把它写成当前普通运行受阻。真机分发并非本次SC37发布授权。",QD-009;QD-020;QD-021
SC-38,partial,B5,FORMAL-004-NOTIFICATION-ALLOW-PROBE-001;FORMAL-004-NOTIFICATION-ALLOW-UI-001;FORMAL-004-NOTIFICATION-ALLOW-OBSERVE-001;FORMAL-004-NOTIFICATION-ALLOW-DISABLE-UI-001;FORMAL-004-NOTIFICATION-ALLOW-CANCEL-OBSERVE-001;formal-004-notification-time-preprobe/ui/postprobe-001;formal-004-rest-background-zero-001;formal-004-calendar-boundary-001;formal-004-m2-startup-deny-001,"2026-09-08 final audit; diagnostic conclusion, not all subitems passed. **原要求**：通知允许/拒绝、时区与目标变化、后台/LiveActivity恢复结束。 **已验**：C R/formal-004-notification-allow-probe-001、R/formal-004-notification-allow-ui-001、R/formal-004-notification-allow-observe-001 与deny系列各run（完整展开见D/NOTIFICATION-004-RESULT.md）：实际OS允许/拒绝/拒后解释，允许唯一daily-reminder19:00重复，拒绝0请求；allow-disable-ui-001与allow-cancel-observe-001关闭重入/OS0请求。calendar-boundary001两方法（.291s）独立LA DST01:30→03:30/上海17:30→18:30、23h本地日归档/新日去重。owner-goal001（.019s）guest2/A服务响应5/B6重建隔离，非法0/8拒写。rest-background-zero001（108.985s）正常59秒后台等61.004652s、回来休息清除/新休息59→56；D/REST-BACKGROUND-004-RESULT.md。 **T/O/能力限制**：notification-time-ui001（50.634s）实际稳定分钟14、关闭/重入20:14，postprobe001（1.177s）偏好/OS仍20:14；严格预期17未实际输入，不能判保存把17变14。停止20:17同质变体。D/LOAD-REMINDER-CLOSURE-004-AUDIT.md核Date绝对epoch、本地DatePicker与OS hour/minute无timezone；文档未裁定换区保持当地钟点还是绝对时刻，现无安全UI日历注入。Calendar服务参数通过不等于真实OS跨区集成；目标days保存并不调用scheduler，不能发明“改目标必须重排”缺陷。目标同进程首页不刷已为QD028，别再追绿。 **外部**：通知真实锁屏送达、系统挂起、LiveActivity恢复/结束、声音/触觉仍E，须真机、权限、实际活动与观察时点。模拟器普通后台到零不是LiveActivity证明。 **收口**：可交付分层诊断，实际OS权限/取消、日历服务/目标已验；跨区Date意图未裁定与UI注入未建立须原样交付，不能声称全部系统行为通过或继续无依据滚轮操作。",
